Age,Attrition,BusinessTravel,Department,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,TotalWorkingYears,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager
35,No,Travel_Rarely,Research & Development,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,No,1,1,0,0
27,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,No,1,1,0,0
26,Yes,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,No,1,1,0,1
27,No,Travel_Frequently,Sales,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,No,9,9,1,7
30,No,Travel_Frequently,Research & Development,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,No,12,12,3,7
41,Yes,Travel_Rarely,Research & Development,3,Technical Degree,2,Female,3,5,Research Director,3,Married,No,23,22,15,8
34,No,Non-Travel,Sales,4,Marketing,2,Male,3,2,Sales Executive,3,Single,No,10,9,8,7
37,No,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,No,8,1,0,0
46,No,Travel_Frequently,Sales,4,Marketing,1,Male,3,2,Sales Executive,4,Single,Yes,14,9,0,8
35,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,No,1,1,0,1
48,Yes,Travel_Rarely,Research & Development,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,Yes,23,1,0,0
28,Yes,Travel_Rarely,Research & Development,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,Yes,2,2,2,2
44,No,Travel_Rarely,Sales,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,Yes,9,4,1,3
35,No,Non-Travel,Research & Development,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,Yes,10,4,2,3
26,No,Travel_Rarely,Sales,3,Marketing,3,Female,2,2,Sales Executive,4,Married,Yes,5,2,0,0
33,No,Travel_Frequently,Research & Development,2,Life Sciences,1,Female,3,3,Research Director,4,Single,Yes,15,15,8,12
35,No,Travel_Frequently,Sales,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,No,9,9,1,8
35,No,Travel_Rarely,Research & Development,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,Yes,4,2,2,2
31,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,No,10,7,1,7
37,No,Travel_Rarely,Research & Development,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,No,7,7,0,7
32,No,Travel_Rarely,Research & Development,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,Yes,9,9,7,8
38,No,Travel_Frequently,Research & Development,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,No,10,10,9,9
50,No,Travel_Rarely,Research & Development,2,Medical,2,Female,2,5,Research Director,3,Divorced,Yes,29,27,13,8
59,No,Travel_Rarely,Sales,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,No,28,21,7,9
36,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,No,17,17,12,8
55,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,4,Manager,3,Divorced,Yes,21,5,0,2
36,No,Travel_Frequently,Research & Development,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,No,6,6,0,3
45,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,No,25,1,0,0
35,No,Travel_Frequently,Research & Development,3,Medical,2,Male,3,1,Research Scientist,1,Married,No,5,3,1,2
36,Yes,Travel_Rarely,Research & Development,3,Medical,4,Male,2,1,Research Scientist,3,Married,Yes,2,1,0,0
59,No,Travel_Frequently,Sales,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,No,20,4,1,3
29,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,No,6,5,0,4
31,No,Travel_Rarely,Research & Development,4,Medical,3,Male,3,1,Research Scientist,2,Single,No,1,1,1,0
32,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,No,10,10,0,9
36,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,No,5,1,0,0
31,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,No,11,11,1,8
35,No,Travel_Rarely,Sales,4,Marketing,3,Male,2,2,Sales Executive,1,Single,No,16,15,2,8
45,No,Travel_Rarely,Research & Development,4,Other,4,Male,3,3,Research Director,1,Married,Yes,17,0,0,0
37,No,Travel_Rarely,Research & Development,4,Medical,1,Male,3,3,Research Director,3,Single,No,16,5,0,2
46,No,Travel_Rarely,Human Resources,2,Medical,2,Male,3,2,Human Resources,2,Divorced,Yes,16,4,0,2
30,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,Yes,10,10,3,0
35,No,Travel_Rarely,Research & Development,3,Medical,2,Male,2,1,Research Scientist,3,Single,No,6,6,0,4
55,No,Travel_Rarely,Sales,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,No,24,1,1,0
38,No,Non-Travel,Research & Development,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,Yes,17,13,1,9
34,No,Travel_Rarely,Research & Development,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,No,5,5,1,3
56,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,No,37,6,0,2
23,No,Travel_Rarely,Sales,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,No,3,0,0,0
51,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,No,10,4,0,3
30,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,No,11,11,10,8
46,Yes,Travel_Rarely,Sales,2,Medical,3,Male,2,3,Sales Executive,4,Single,No,9,9,4,7
40,No,Travel_Frequently,Research & Development,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,No,22,22,11,11
51,No,Travel_Rarely,Sales,4,Marketing,3,Male,3,2,Sales Executive,4,Single,Yes,11,10,1,0
30,No,Travel_Rarely,Sales,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,Yes,11,11,2,7
46,No,Travel_Frequently,Research & Development,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,Yes,21,10,9,5
32,No,Travel_Rarely,Sales,4,Medical,2,Male,3,2,Sales Executive,3,Single,No,12,11,5,7
54,No,Travel_Rarely,Research & Development,4,Technical Degree,1,Female,3,3,Research Director,3,Married,No,16,4,0,3
24,No,Travel_Rarely,Sales,2,Other,1,Female,3,2,Sales Executive,3,Married,No,4,3,0,2
28,No,Non-Travel,Sales,3,Medical,2,Male,3,2,Sales Executive,3,Married,No,5,5,0,4
58,No,Travel_Rarely,Sales,4,Medical,4,Male,3,4,Sales Executive,3,Single,No,38,37,1,8
44,No,Non-Travel,Research & Development,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,No,17,3,1,2
37,Yes,Travel_Rarely,Human Resources,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,Yes,7,3,0,2
32,No,Travel_Rarely,Research & Development,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,No,1,1,0,0
20,Yes,Travel_Frequently,Research & Development,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,Yes,1,1,1,0
34,No,Travel_Rarely,Research & Development,4,Other,1,Female,3,2,Research Scientist,3,Single,No,16,16,2,10
37,No,Non-Travel,Research & Development,2,Life Sciences,3,Male,2,2,Healthcare Representative,4,Divorced,No,17,1,0,0
59,No,Non-Travel,Human Resources,4,Human Resources,3,Female,2,5,Manager,4,Married,No,30,3,2,2
50,No,Travel_Frequently,Research & Development,3,Life Sciences,1,Female,3,5,Research Director,2,Married,Yes,28,8,0,7
25,Yes,Travel_Rarely,Sales,3,Marketing,3,Male,2,2,Sales Executive,3,Single,Yes,6,6,0,3
25,No,Travel_Rarely,Research & Development,1,Medical,4,Male,2,1,Research Scientist,4,Married,No,2,2,2,1
22,No,Travel_Rarely,Research & Development,3,Medical,2,Female,3,1,Laboratory Technician,4,Single,No,1,0,0,0
51,No,Travel_Frequently,Research & Development,4,Medical,1,Female,2,3,Healthcare Representative,1,Single,No,23,13,12,8
34,Yes,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,1,2,Laboratory Technician,3,Single,Yes,9,9,0,6
54,No,Non-Travel,Human Resources,3,Human Resources,4,Female,4,4,Manager,4,Single,Yes,23,5,4,4
24,No,Travel_Rarely,Research & Development,1,Life Sciences,2,Male,3,1,Laboratory Technician,3,Married,No,6,5,1,2
34,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Female,2,2,Research Scientist,2,Divorced,No,12,1,0,0
37,No,Travel_Rarely,Sales,3,Life Sciences,3,Male,3,3,Sales Executive,4,Single,No,12,5,1,3
34,No,Travel_Rarely,Research & Development,3,Medical,3,Female,2,3,Manager,1,Single,No,14,11,5,8
36,No,Travel_Frequently,Sales,2,Technical Degree,2,Female,3,3,Sales Executive,4,Married,No,10,9,2,8
36,No,Travel_Rarely,Research & Development,2,Life Sciences,1,Female,3,1,Laboratory Technician,4,Divorced,No,7,1,0,0
43,No,Travel_Frequently,Sales,2,Life Sciences,3,Male,3,4,Manager,4,Married,Yes,25,25,4,12
30,No,Travel_Frequently,Research & Development,3,Life Sciences,1,Male,1,1,Research Scientist,3,Divorced,No,10,10,0,9
33,No,Non-Travel,Sales,2,Marketing,3,Male,3,2,Sales Executive,2,Married,No,8,7,0,7
56,Yes,Travel_Rarely,Research & Development,4,Life Sciences,2,Female,3,1,Research Scientist,2,Married,Yes,7,5,4,3
51,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,5,Research Director,3,Single,No,23,20,15,15
31,Yes,Travel_Rarely,Sales,4,Life Sciences,2,Male,1,2,Sales Executive,3,Married,Yes,12,7,7,7
26,No,Travel_Rarely,Research & Development,3,Other,3,Female,2,1,Research Scientist,2,Married,No,5,5,4,3
58,Yes,Travel_Rarely,Research & Development,4,Medical,4,Female,3,3,Healthcare Representative,4,Married,No,40,40,15,6
19,Yes,Travel_Rarely,Sales,1,Marketing,4,Male,3,1,Sales Representative,3,Single,Yes,0,0,0,0
22,No,Travel_Rarely,Research & Development,1,Technical Degree,3,Male,3,1,Laboratory Technician,4,Married,No,3,2,2,1
49,No,Travel_Rarely,Research & Development,4,Medical,3,Female,3,2,Manufacturing Director,1,Married,No,16,15,5,11
43,No,Travel_Frequently,Research & Development,3,Medical,2,Female,4,1,Research Scientist,3,Single,No,18,3,1,2
50,No,Travel_Frequently,Sales,3,Marketing,3,Female,3,3,Sales Executive,4,Single,No,16,2,2,1
31,Yes,Travel_Rarely,Sales,3,Life Sciences,2,Female,1,2,Sales Executive,3,Married,Yes,4,2,2,2
41,No,Travel_Rarely,Sales,1,Life Sciences,3,Male,3,3,Sales Executive,3,Divorced,Yes,12,9,0,7
26,No,Travel_Rarely,Human Resources,1,Life Sciences,3,Female,3,1,Human Resources,3,Married,No,8,8,5,7
36,No,Travel_Rarely,Research & Development,2,Medical,2,Male,3,2,Manufacturing Director,2,Divorced,No,7,3,0,1
51,Yes,Travel_Frequently,Research & Development,4,Life Sciences,1,Male,1,3,Manufacturing Director,4,Single,No,18,4,0,3
39,No,Travel_Rarely,Sales,4,Life Sciences,4,Female,2,2,Sales Executive,3,Married,No,17,15,5,9
25,No,Travel_Rarely,Sales,3,Life Sciences,1,Male,2,2,Sales Executive,3,Married,No,6,2,2,2
30,No,Travel_Rarely,Human Resources,3,Human Resources,3,Male,3,2,Human Resources,4,Married,Yes,12,11,4,7
32,Yes,Travel_Rarely,Research & Development,3,Medical,1,Female,3,1,Laboratory Technician,1,Single,No,10,5,0,4
45,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,Single,No,9,6,0,3
38,No,Travel_Rarely,Research & Development,5,Technical Degree,4,Female,3,2,Research Scientist,3,Single,Yes,19,3,2,2
30,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Female,3,1,Research Scientist,3,Single,No,5,5,0,4
32,No,Travel_Frequently,Sales,2,Medical,4,Male,1,2,Sales Executive,4,Divorced,No,9,8,0,7
30,No,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,Divorced,No,8,3,2,2
30,No,Travel_Rarely,Research & Development,1,Medical,2,Male,2,1,Laboratory Technician,4,Single,No,6,5,1,2
41,No,Travel_Frequently,Research & Development,3,Life Sciences,4,Male,2,4,Manager,1,Divorced,No,21,7,7,7
41,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,3,1,Laboratory Technician,1,Married,No,7,5,1,4
19,No,Travel_Rarely,Research & Development,1,Medical,2,Female,3,1,Laboratory Technician,2,Single,No,1,1,0,0
40,No,Travel_Frequently,Research & Development,3,Medical,2,Female,3,2,Research Scientist,2,Divorced,No,20,20,2,13
35,No,Travel_Rarely,Sales,5,Marketing,3,Male,3,3,Sales Executive,2,Married,No,10,10,0,6
53,No,Travel_Rarely,Sales,2,Marketing,2,Male,3,2,Sales Representative,3,Married,Yes,13,7,4,5
45,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,3,2,Laboratory Technician,2,Divorced,No,20,17,0,15
32,No,Travel_Frequently,Sales,3,Marketing,2,Female,3,3,Sales Executive,4,Single,No,9,9,3,7
29,No,Non-Travel,Research & Development,1,Technical Degree,4,Male,3,2,Manufacturing Director,3,Married,No,10,10,0,9
51,No,Travel_Rarely,Research & Development,4,Medical,2,Male,2,2,Manufacturing Director,3,Married,No,10,1,0,0
58,No,Travel_Rarely,Research & Development,3,Medical,2,Female,2,1,Research Scientist,2,Married,Yes,9,1,0,0
40,No,Travel_Rarely,Sales,4,Marketing,3,Male,2,3,Sales Executive,4,Married,No,15,12,2,11
34,No,Travel_Frequently,Sales,4,Marketing,3,Female,3,1,Sales Representative,3,Married,No,6,4,1,2
22,No,Travel_Rarely,Research & Development,1,Medical,3,Male,3,1,Research Scientist,4,Married,No,2,2,2,2
27,No,Non-Travel,Research & Development,3,Medical,4,Male,3,1,Research Scientist,2,Divorced,No,6,2,2,2
28,No,Travel_Rarely,Research & Development,3,Medical,3,Male,3,1,Research Scientist,4,Married,No,5,5,0,2
57,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Male,4,3,Healthcare Representative,4,Divorced,Yes,12,5,1,4
27,No,Non-Travel,Research & Development,3,Medical,3,Male,2,1,Research Scientist,3,Divorced,Yes,1,1,0,1
50,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,5,Manager,2,Single,No,21,5,4,4
41,No,Travel_Rarely,Research & Development,3,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,No,13,9,1,8
30,No,Travel_Rarely,Sales,3,Life Sciences,2,Female,3,3,Sales Executive,4,Married,No,12,10,7,4
38,No,Travel_Rarely,Sales,4,Life Sciences,1,Female,2,2,Sales Executive,4,Single,No,12,8,0,7
32,No,Travel_Rarely,Research & Development,5,Life Sciences,3,Male,3,1,Research Scientist,3,Single,No,8,5,1,4
27,No,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,2,Married,Yes,6,5,1,1
19,Yes,Travel_Frequently,Sales,1,Technical Degree,3,Female,1,1,Sales Representative,1,Single,No,1,0,0,0
36,No,Travel_Frequently,Research & Development,2,Medical,4,Male,3,1,Laboratory Technician,2,Single,No,13,8,7,2
30,No,Non-Travel,Research & Development,3,Medical,3,Male,3,2,Laboratory Technician,1,Divorced,No,12,12,6,10
45,No,Travel_Rarely,Sales,2,Life Sciences,3,Female,3,2,Sales Executive,1,Divorced,Yes,9,5,0,3
56,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,3,1,Research Scientist,1,Divorced,Yes,19,2,2,2
33,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,3,1,Research Scientist,4,Single,No,4,3,0,2
19,Yes,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,2,1,Laboratory Technician,4,Single,No,1,1,1,0
46,No,Travel_Rarely,Sales,2,Marketing,2,Female,3,3,Sales Executive,1,Divorced,No,24,24,15,7
38,No,Travel_Rarely,Research & Development,2,Life Sciences,3,Female,3,1,Laboratory Technician,4,Single,No,2,2,2,1
31,No,Travel_Rarely,Research & Development,1,Medical,3,Female,3,1,Research Scientist,4,Married,Yes,7,4,0,2
34,No,Travel_Rarely,Research & Development,2,Medical,4,Female,3,1,Research Scientist,2,Single,No,9,3,1,2
41,Yes,Travel_Rarely,Sales,2,Marketing,2,Female,3,1,Sales Representative,2,Single,Yes,4,4,0,2
50,No,Travel_Rarely,Research & Development,3,Medical,3,Male,2,1,Laboratory Technician,3,Married,No,5,3,0,2
53,No,Travel_Rarely,Research & Development,2,Medical,4,Female,4,2,Manufacturing Director,1,Divorced,No,5,4,1,3
33,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,Married,No,8,8,1,6
40,No,Travel_Rarely,Research & Development,1,Medical,4,Female,3,5,Manager,3,Married,No,21,20,9,9
55,No,Travel_Rarely,Research & Development,4,Medical,3,Male,4,5,Research Director,2,Single,No,36,24,2,15
34,No,Travel_Frequently,Research & Development,1,Life Sciences,4,Male,2,2,Manufacturing Director,3,Married,No,10,10,1,9
51,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,4,Healthcare Representative,2,Single,No,21,7,1,0
52,No,Travel_Rarely,Research & Development,4,Life Sciences,3,Male,2,5,Manager,3,Married,No,34,33,11,9
27,No,Travel_Rarely,Research & Development,3,Medical,4,Female,3,1,Research Scientist,2,Single,No,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,2,Life Sciences,2,Male,2,2,Manufacturing Director,3,Married,Yes,8,1,0,1
43,No,Non-Travel,Research & Development,3,Medical,4,Male,4,1,Research Scientist,4,Divorced,No,7,5,2,2
45,No,Non-Travel,Research & Development,2,Medical,1,Male,2,4,Manager,4,Married,No,22,20,11,8
37,No,Travel_Rarely,Research & Development,3,Life Sciences,2,Male,4,1,Research Scientist,1,Married,Yes,8,8,1,7
35,No,Travel_Frequently,Research & Development,3,Medical,2,Female,3,2,Laboratory Technician,2,Single,No,10,6,1,2
42,No,Non-Travel,Research & Development,2,Medical,3,Female,3,2,Manufacturing Director,3,Divorced,No,11,5,0,2
38,No,Travel_Rarely,Research & Development,4,Life Sciences,4,Male,3,2,Manufacturing Director,3,Married,No,14,1,0,0
38,No,Travel_Rarely,Research & Development,3,Technical Degree,4,Male,3,2,Manufacturing Director,4,Married,No,9,7,1,7
27,No,Travel_Frequently,Research & Development,1,Technical Degree,3,Male,2,2,Manufacturing Director,1,Married,No,6,2,2,0
49,No,Non-Travel,Research & Development,4,Life Sciences,4,Male,3,2,Manufacturing Director,4,Divorced,Yes,7,7,1,7
34,No,Travel_Frequently,Research & Development,4,Medical,4,Male,3,1,Research Scientist,3,Divorced,Yes,5,5,2,0
40,No,Travel_Rarely,Research & Development,2,Medical,3,Male,3,2,Laboratory Technician,4,Married,Yes,15,7,3,7
38,Yes,Travel_Rarely,Research & Development,1,Medical,2,Male,3,2,Healthcare Representative,1,Married,Yes,17,1,0,0
29,Yes,Travel_Rarely,Sales,3,Marketing,2,Female,3,3,Sales Executive,4,Married,No,10,10,1,9
22,No,Travel_Rarely,Research & Development,3,Life Sciences,4,Male,4,1,Research Scientist,2,Divorced,Yes,4,4,2,2
36,No,Travel_Frequently,Research & Development,1,Medical,2,Female,3,1,Laboratory Technician,4,Single,No,8,8,1,7
40,No,Non-Travel,Research & Development,5,Life Sciences,4,Male,2,2,Healthcare Representative,4,Married,No,5,3,0,2
46,No,Travel_Rarely,Research & Development,4,Medical,4,Male,3,3,Healthcare Representative,1,Divorced,No,17,4,0,3
32,Yes,Travel_Rarely,Sales,4,Medical,4,Male,1,3,Sales Executive,4,Married,No,14,14,9,8
30,No,Non-Travel,Research & Development,1,Life Sciences,3,Male,2,3,Manufacturing Director,3,Single,No,12,11,5,8
27,No,Travel_Frequently,Sales,3,Life Sciences,4,Female,3,2,Sales Executive,3,Single,No,7,7,0,7
51,No,Travel_Rarely,Research & Development,4,Life Sciences,2,Male,2,3,Research Director,2,Married,No,16,10,4,7
30,Yes,Travel_Rarely,Research & Development,3,Technical Degree,4,Female,3,1,Research Scientist,1,Single,Yes,8,5,0,4
41,No,Travel_Rarely,Sales,3,Life Sciences,4,Female,3,3,Manager,4,Single,Yes,16,1,0,0
30,Yes,Travel_Frequently,Sales,4,Marketing,3,Female,2,2,Sales Executive,1,Single,No,9,6,0,1
29,Yes,Travel_Rarely,Research & Development,3,Technical Degree,3,Male,3,1,Research Scientist,3,Single,No,7,6,1,5
45,No,Non-Travel,Sales,3,Medical,4,Female,2,3,Sales Executive,4,Single,No,23,19,12,8
54,No,Travel_Rarely,Sales,3,Marketing,4,Female,3,2,Sales Executive,1,Married,No,16,6,0,5
36,No,Travel_Rarely,Research & Development,2,Life Sciences,4,Male,3,2,Laboratory Technician,2,Single,No,16,13,3,7
33,No,Travel_Rarely,Research & Development,4,Medical,3,Female,2,1,Research Scientist,2,Married,No,7,3,1,1
37,No,Travel_Frequently,Research & Development,3,Other,2,Male,3,3,Research Director,4,Divorced,Yes,10,10,0,7
38,No,Travel_Rarely,Sales,3,Life Sciences,1,Male,3,3,Sales Executive,3,Divorced,No,17,16,5,13
31,No,Non-Travel,Research & Development,4,Medical,3,Male,1,2,Manufacturing Director,3,Married,No,6,5,1,4
59,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Male,2,1,Research Scientist,4,Married,No,7,1,0,0
37,No,Travel_Frequently,Sales,4,Marketing,1,Male,3,1,Sales Representative,4,Divorced,No,13,9,5,8
29,No,Travel_Frequently,Sales,1,Medical,2,Female,3,3,Sales Executive,4,Married,No,11,11,4,1
35,No,Travel_Frequently,Sales,3,Marketing,3,Female,3,3,Sales Executive,3,Single,No,10,10,0,8
29,Yes,Travel_Rarely,Research & Development,1,Medical,3,Male,2,1,Research Scientist,4,Single,Yes,4,4,0,1
52,No,Travel_Rarely,Research & Development,3,Life Sciences,3,Female,2,1,Laboratory Technician,4,Single,No,6,2,2,2
42,No,Travel_Rarely,Research & Development,2,Technical Degree,3,Male,3,5,Manager,4,Married,No,22,22,11,15
59,No,Travel_Rarely,Human Resources,2,Medical,2,Male,3,1,Human Resources,3,Married,No,7,2,2,2
50,No,Travel_Rarely,Sales,4,Medical,4,Female,3,5,Manager,4,Divorced,No,32,7,0,6
